,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
cocomero (cocos nucifera),0.007,0.0002,0.002,0.011,0.28,2.9999999999999997e-05,0.0001,7.000000000000001e-05,0.04,4.0,2.0,1.0,0.02,0.01,,,0.1,,0.0,0.1,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,3.0,2e-05,2e-05,0.0001,3.7e-05,0.008,,52.0,95.3,0.4,6.7,6.7,0.0,0.4,0.04,0.1,0.14,0.2,0.02,0.2,0.0,0.003,0.0,0.0,32.24,3.12,30.68,20.28,14.040000000000001,8.32,32.76,12.48,5.2,8.84,1.04,8.32,3.12,9.88,9.36,6.24,7.800000000000001,3.64,43,leucina,30.00
salame ungherese,0.045,0.0014,,0.027,0.42,0.00013000000000000002,0.0031,0.0033,9.74,0.0,0.0,0.52,6.15,2.75,0.31,0.0,15.38,0.0,0.87,13.99,0.52,0.0,5.45,4.79,0.27,0.39,,,0.6,0.00017,0.00025,,,0.0,,100.0,36.0,24.2,0.7,0.7,0.0,34.0,9.74,15.38,5.45,0.0,0.0,0.0,0.094,1.504,0.0,0.0,999.99,893.0,999.99,999.99,999.99,958.0,999.99,999.99,999.99,999.99,259.0,999.99,631.0,999.99,999.99,837.0,982.0,230.0,86,Trip.,405.00
"uva, succo, in cartone (vitis vinifera)",0.01,0.0003,0.01,,0.12,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,6e-05,,1.4999999999999999e-05,0.34,,100.0,81.4,0.3,17.3,17.3,0.0,,,,,0.0,0.0,0.0,0.0,0.002,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,66.00
cuore di ovino (ovis agnus),0.009,0.005,0.2,,0.316,0.00039,,0.0018700000000000001,3.3,,,,,,,,2.3,,,,,,0.8,,,,,,,0.00049,0.0008,0.0075,0.0,0.003,,100.0,75.0,16.9,0.4,0.4,0.0,7.2,3.3,2.3,0.8,0.0,0.0,0.0,0.135,0.089,0.0,0.0,999.99,377.0,999.99,999.99,777.0,636.0,999.99,747.0,795.0,999.99,138.0,819.0,361.0,714.0,999.99,513.0,712.0,178.0,98,triptofano,134.00
corvina (corvina nigra),0.074,0.0144,,0.061,0.527,0.0008,,0.0021000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,20.0,0.2,0.2,0.0,0.8,,,,0.0,0.0,0.0,0.055,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,88.00
bufalo [tessuto muscolare privato del grasso visibile] (bos bubalus),,,,,,,,,0.31,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.26,0.0,0.02,0.24,0.0,0.0,0.28,0.14,0.03,0.05,0.02,0.0,0.9,,,,,,,100.0,,,,,0.0,1.1,0.31,0.26,0.28,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"aringa, affumicata (clupea harengus)",0.066,0.0014,0.254,0.046,,,,0.00136,2.79,0.0,0.01,0.75,1.85,0.14,,,5.11,,0.85,2.07,0.98,1.14,2.91,0.17,0.14,0.08,0.97,1.17,1.0,,0.00028000000000000003,0.0033,9e-06,0.001,0.001,70.0,62.5,19.9,0.0,0.0,0.0,12.7,2.79,5.11,2.91,0.0,0.0,0.0,0.082,0.918,0.0,0.0,699.9929999999999,506.79999999999995,699.9929999999999,699.9929999999999,699.9929999999999,699.9929999999999,699.9929999999999,608.3,699.9929999999999,699.9929999999999,184.79999999999998,699.9929999999999,509.59999999999997,699.9929999999999,699.9929999999999,581.0,672.0,192.5,100,triptofano,194.00
melone d'inverno (cucumis melo var. inodorus),0.021,0.0003,0.016,0.008,0.21,4e-05,0.0003,0.00016,0.02,0.0,1.0,1.0,0.02,2.0,,,2.0,,0.0,2.0,0.0,0.0,0.03,0.01,0.02,0.0,0.0,0.0,1.5,1e-05,2e-05,0.0005,4.9999999999999996e-06,0.012,0.00015,51.0,94.1,0.5,4.9,4.9,0.0,0.2,0.02,2.0,0.03,0.7,,,0.0,0.012,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0,lisina,22.00
"gelato confezionato- cono con panna, scaglie di cioccolato e noccioline",0.096,,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,41.1,4.2,33.3,,,20.5,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,326.00
riso parboiled crudo (oryza sativa),0.06,0.0029,0.2,,0.15,0.00034,0.014,0.002,,,,,,,,,,,,,,,,,,,,,,0.00034,,,0.0,0.0,,100.0,10.3,7.4,81.3,0.3,73.6,0.3,,,,0.5,,,0.0,0.009000000000000001,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,337.00
panna uht,,,,,,,,,13.91,2.02,0.77,2.47,5.72,2.47,0.0,0.0,7.41,0.31,0.59,6.12,0.0,0.0,0.64,0.31,0.33,0.0,0.0,0.0,0.0,,,,,,,100.0,,2.5,4.0,,0.0,23.9,13.91,7.41,0.64,0.0,0.0,0.0,0.08,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
maionese light,0.018,0.0005,0.028,,,,,,6.93,0.0,0.0,0.0,5.18,0.21,0.07,0.0,14.14,0.0,0.14,13.72,0.14,0.14,46.06,40.88,5.18,0.0,0.0,0.0,6.6,2e-05,4e-05,,8.4e-05,,,100.0,15.0,4.3,2.1,2.1,0.0,60.0,6.93,14.14,46.06,0.0,0.0,0.0,0.07,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,560.00
mele fresche - granny smith (pyrus malus (malus pumila)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,81.0,87.8,0.5,9.4,9.4,,0.1,,,,1.9,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,38.00
fegato di tacchino crudo (meleagris gallopavo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.435,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"dentice, surgelato (dentex dentex)",0.03,0.0008,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.00015,0.0033,,0.0,,65.0,80.1,17.2,0.7,0.7,0.0,3.5,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,103.00
bresaola,0.007,0.0024,0.168,0.034,0.505,0.00015,,0.00387,0.75,0.0,0.0,0.03,0.42,0.28,0.0,0.0,1.08,0.01,0.08,0.79,0.02,0.11,0.39,0.12,0.05,0.04,0.1,0.01,0.5,0.00012,0.00023,0.0024,,0.0,,100.0,60.0,32.0,0.0,0.0,0.0,2.6,0.75,1.08,0.39,0.0,0.0,0.0,0.067,1.597,0.0,0.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,367.0,999.99,945.0,999.99,999.99,999.99,999.99,325.0,94,Trip.,151.00
formaggi semigrassi,,,,,,,,,14.0,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,,,0.00034,100.0,46.0,21.1,3.0,3.0,0.0,24.0,14.0,7.0,2.0,0.0,0.0,0.0,0.08,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,310.00
cuore di equino (equus cabalus),0.009,0.005,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00051,0.00091,0.0070999999999999995,,0.005,,100.0,73.0,18.7,0.6,0.6,0.0,7.7,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,146.00
baba' al rhum,0.022,0.0023,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,49.4,5.9,41.2,18.5,20.6,5.7,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,229.00
mele fresche - imperatore (pyrus malus (malus pumila)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,75.0,86.2,0.2,11.3,11.3,,0.1,,,,1.9,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,44.00
fagioli -cannellini secchi (phaseolus vulgaris),0.132,0.0088,0.46,0.17,1.411,0.0007,,0.0036,,,,,,,,,,,,,,,,,,,,,,0.0003,6e-05,0.003,,,,100.0,10.0,23.4,45.5,2.9,38.7,1.6,,,,17.6,2.3,15.25,0.0,0.005,0.0,0.001,999.99,656.0,999.99,999.99,918.0,999.99,999.99,955.0,939.0,983.0,222.0,999.99,248.0,999.99,999.99,724.0,999.99,224.0,80,Solf.,279.00
"bovino adulto o vitellone - spalla, muscolo, girello, fesone- [tessuto muscolare privato del grasso visibile] (bos taurus)",0.006,0.0015,0.2,0.017,0.304,5.9999999999999995e-05,0.016,0.0045,0.76,0.0,0.0,0.05,0.39,0.27,0.0,0.0,0.78,0.08,0.05,0.53,0.0,0.06,0.53,0.26,0.05,0.08,0.03,0.03,0.7,0.0001,0.00017,0.005,,0.0,,100.0,75.2,21.5,0.0,0.0,0.0,2.4,0.76,0.78,0.53,0.0,0.0,0.0,,0.051000000000000004,0.0,0.0,999.99,753.0,999.99,999.99,884.0,847.0,999.99,999.99,999.99,999.99,243.0,999.99,591.0,925.0,999.99,703.0,845.0,196.0,84,Trip.,108.00
"merluzzo o nasello, baccala' ammollato (merluccius merluccius)",0.031,0.0023,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,0.00028000000000000003,,0.0,0.0,,82.0,75.6,21.6,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.05,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,95.00
castagne secche (castanea vulgaris),0.056,0.0019,0.131,0.074,0.738,0.00065,,0.00035,0.73,0.0,,0.01,0.66,0.03,,,1.34,,0.03,1.29,0.01,,1.54,1.38,0.16,,,,2.1,0.00015,0.0005200000000000001,0.00207,0.0,0.0151,,100.0,10.1,6.0,62.0,16.1,41.7,3.4,0.73,1.34,1.54,13.8,1.15,12.66,0.0,0.017,0.0,,297.0,139.0,359.0,866.0,179.0,251.0,647.0,264.0,258.0,335.0,159.0,280.0,118.0,198.0,297.0,139.0,212.0,56.0,89,leucina,287.00
"merluzzo o nasello, surgelato, cotto [in forno a microonde senza aggiunta di acqua e di sale] (merluccius merluccius)",0.037,0.001,0.2,0.021,0.33,0.00035,0.016800000000000002,0.00212,0.16,0.0,0.0,0.01,0.12,0.03,0.0,0.0,0.16,0.0,0.01,0.1,0.04,0.02,0.31,0.01,0.0,0.01,0.05,0.22,1.9,6e-05,8e-05,0.00222,,0.0,,75.0,72.2,24.8,0.0,0.0,0.0,0.9,0.16,0.16,0.31,0.0,0.0,0.0,0.062,0.082,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,107.00
"pesce grasso, filetti",0.038,0.0012,0.264,0.021,0.36,0.0007,0.009800000000000001,0.002,2.61,0.0,0.0,0.5,1.76,0.35,0.0,0.0,4.13,0.0,0.59,1.84,0.71,0.99,2.46,0.16,0.15,0.16,0.73,1.26,0.9,0.0001,0.00025,0.0076,4.4999999999999996e-05,0.0004,0.00152,100.0,69.8,17.0,0.5,0.5,0.0,11.1,2.61,4.13,2.46,0.0,0.0,0.0,0.095,0.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,170.00
"corned beef, in scatola",0.009,0.0024,0.125,0.015,0.14,,,0.0056,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00015,0.0017,,0.0,,100.0,59.6,23.2,0.0,0.0,0.0,14.0,,,,0.0,0.0,0.0,0.093,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,219.00
farina di frumento integrale (triticum aestivum),0.028,0.003,0.3,0.138,0.337,0.00038,0.0707,0.0029300000000000003,0.32,0.01,0.0,0.03,0.27,0.01,,,0.23,,0.01,0.21,0.0,0.0,0.77,0.73,0.03,0.02,0.0,0.0,2.4,0.0004,0.00016,0.005,0.0,0.0,0.0004,100.0,13.4,11.9,67.8,2.1,59.7,1.9,0.32,0.23,0.77,8.4,1.92,6.51,0.0,0.003,0.0,,347.0,265.0,551.0,632.0,367.0,612.0,999.99,999.99,490.0,428.0,265.0,551.0,204.0,490.0,816.0,408.0,592.0,163.0,50,Lis.,319.00
sorgo (sorghum),0.028,,0.35,,,0.0044,0.00023,0.287,0.45,0.0,7.0,9.0,0.4,0.03,,,0.99,,0.02,0.96,,,1.37,1.3,0.06,,,,2.9,0.00014000000000000001,0.0,0.00292,0.0,,,100.0,9.2,11.3,74.63,,,3.3,0.45,0.99,1.37,,,,0.0,0.006,,,229.0,246.0,355.0,743.0,346.0,462.0,999.99,852.0,346.0,999.99,127.0,561.0,169.0,433.0,999.99,321.0,546.0,124.0,0.0,,339.00
anguilla di fiume (anguilla anguilla),0.031,0.001,0.218,0.027,0.217,,0.018,,,,,,,,,,,,,,,,,,,,,,,0.00015,0.0002,0.0035,0.0012,0.002,,71.0,61.5,11.8,0.1,0.1,0.0,23.7,,,,0.0,0.0,0.0,0.092,0.065,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,261.00
"bieta, cotta [bollita in acqua distillata senza aggiunta di sale] (beta vulgaris, cv. cicla)",0.13,0.002,0.062,0.052,0.42,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,0.018000000000000002,,100.0,76.8,2.8,6.0,6.0,0.0,0.2,,,,1.6,0.2,1.37,0.0,0.02,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,36.00
polmone di bovino (bos taurus),0.015,0.0067,0.173,0.014,0.34,0.00026000000000000003,0.0443,0.00161,0.86,0.0,0.0,0.04,0.45,0.23,,,0.64,,0.09,0.47,0.02,0.0,0.34,0.17,0.02,0.14,0.0,0.0,0.3,0.00023,0.00025,0.002,1.4e-05,0.04,,100.0,83.0,14.0,0.0,0.0,0.0,2.1,0.86,0.64,0.34,0.0,0.0,0.0,0.242,0.198,0.0,0.0,999.99,492.0,980.0,977.0,604.0,816.0,999.99,999.99,734.0,999.99,249.0,798.0,324.0,772.0,999.99,365.0,658.0,148.0,82,triptofano,75.00
"agretti, cotti [bolliti in acqua distillata senza aggiunta di sale] (salsola kali)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,79.4,4.8,5.6,5.6,0.0,0.5,,,,2.3,0.41,1.88,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,45.00
muesli,0.11,0.0056,0.28,,0.44,,,,0.24,0.0,0.0,0.17,0.03,0.04,0.0,0.0,2.18,0.0,0.01,2.16,0.0,0.0,3.42,2.3,0.13,0.0,0.0,0.0,14.3,0.0005,0.0007,0.006500000000000001,,,,100.0,7.4,9.7,72.2,26.2,41.4,6.0,0.24,2.18,3.42,6.4,,,0.0,0.38,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,364.00
germogli di soia (glicine max),0.048,0.001,0.067,,0.218,,,,,,,,,,,,,,,,,,,,,,,,,0.00023,0.0002,0.0008,2.4e-05,0.013000000000000001,,98.0,86.3,6.2,3.0,3.0,0.0,1.4,,,,,,,0.0,0.03,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,49.00
strutto o sugna,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.00011,42.47,0.23,0.23,1.32,24.02,16.67,0.0,0.0,43.11,0.5,2.55,39.06,1.0,0.0,11.7,8.95,0.92,1.83,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0012,100.0,0.5,0.3,0.0,0.0,0.0,99.0,42.47,43.11,11.7,0.0,0.0,0.0,0.095,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,892.00
carrube (ceratonia siliqua),0.348,0.00294,0.079,0.054,0.827,0.00057,0.0053,0.00092,,,,,,,,,,,,,,,,,,,,,,5e-05,0.00046,0.00189,1e-06,0.0002,0.00063,100.0,10.0,3.3,49.9,48.9,0.9,0.7,,,,23.1,4.05,19.07,0.0,0.035,0.0,,196.0,122.0,130.0,503.0,271.0,304.0,362.0,354.0,267.0,584.0,29.0,446.0,81.0,209.0,442.0,120.0,151.0,48.0,73,lisina,207.00
"peperoni, gialli cotti [in forno a microonde senza aggiunta di acqua e di sale] (caspicum annuum, cv. grossum)",,,,0.01,,5.9999999999999995e-05,,0.00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
latte di capra,0.141,0.0001,0.106,0.013,0.18,2.9999999999999997e-05,0.0019,0.00031,2.42,0.84,0.22,0.49,1.34,0.43,0.0,0.0,0.82,0.0,0.11,1.25,0.0,0.0,0.16,0.11,0.05,0.0,0.0,0.0,0.0,5e-05,0.00011,0.0003,8.599999999999999e-05,0.001,,100.0,86.3,3.9,4.7,4.7,0.0,3.5,2.42,0.82,0.16,0.0,0.0,0.0,0.01,0.04,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,60.00
bovino adulto o vitellone - noce - [tessuto muscolare privato del grasso visibile] (bos taurus),0.004,0.0013,0.2,0.018,0.337,,,,0.77,0.0,0.0,0.05,0.4,0.28,0.0,0.0,0.75,0.04,0.06,0.58,0.0,0.06,0.46,0.22,0.04,0.06,0.05,0.03,0.6,0.0001,0.00017,0.005,,0.0,,100.0,75.4,21.3,0.0,0.0,0.0,2.3,0.77,0.75,0.46,0.0,0.0,0.0,,0.04,0.0,0.0,999.99,822.0,999.99,999.99,869.0,871.0,999.99,875.0,999.99,999.99,232.0,999.99,611.0,920.0,999.99,754.0,869.0,239.0,98,Trip.,106.00
"cocco, essiccato (cocos nucifera)",0.023,0.0036,0.16,0.09,0.66,0.00079,0.0185,0.0020099999999999996,54.8,9.19,28.66,9.49,5.4,1.43,0.6,0.0,4.22,0.0,0.25,3.96,0.0,0.0,1.08,1.08,0.0,0.0,0.0,0.0,0.0,3e-05,5e-05,0.0009000000000000001,0.0,0.0,0.00135,100.0,2.3,5.6,6.4,6.4,0.0,62.0,54.8,4.22,1.08,13.7,,,0.0,0.028,0.0,,304.0,158.0,999.99,673.0,251.0,356.0,999.99,284.0,326.0,352.0,136.0,417.0,129.0,270.0,511.0,213.0,349.0,81.0,76,lisina,604.00
yogurt parzialmente scremato alla frutta,0.12,0.0001,0.094,,0.149,,,,0.95,0.14,0.05,0.16,0.45,0.15,0.0,0.0,0.38,0.0,0.03,0.35,0.0,0.0,0.05,0.04,0.01,0.0,0.0,0.0,0.1,4e-05,0.00017999999999999998,0.0001,2.1e-05,0.001,6e-05,100.0,89.0,3.4,15.0,3.8,0.0,1.5,0.95,0.38,0.05,0.0,0.0,0.0,0.008,0.045,0.0,0.0,,,,,,,,,,,,,,,,,,,,,80.00
marmellate 40% zuccheri,0.018,0.0014,0.007,,0.1,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,2e-05,0.0009000000000000001,0.0,0.004,,100.0,36.0,0.5,40.0,40.0,0.0,,,,,2.2,,,0.0,0.012,0.0,0.0,,,,,,,,,,,,,,,,,,,,,160.00
"tacchino intero, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (meleagris gallopavo)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.08,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"prosciutto crudo san daniele, magro [privato del grasso visibile]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,61.0,26.8,0.0,0.0,0.0,3.2,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,136.00
"uova di gallina, intero",0.048,0.0015,0.21,0.013,0.133,5.9999999999999995e-05,0.0058,0.0012,3.17,0.0,0.0,0.03,1.9,1.21,0.0,0.0,2.58,0.0,0.23,2.35,0.0,0.0,1.26,1.06,0.04,0.16,0.0,0.0,0.4,8.999999999999999e-05,0.0003,0.0001,0.000225,0.0,,87.0,77.1,12.4,1.2,,0.0,8.7,3.17,2.58,1.26,0.0,0.0,0.0,0.371,0.137,0.0,0.0,765.6,259.26,667.29,869.9913,542.01,732.54,869.9913,431.52,361.92,625.53,281.01,716.01,380.19,571.59,869.9913,437.61,575.9399999999999,171.39,100,Lis.,128.00
kamut (triticum turgidum),0.03,0.0036,0.33,0.16,0.494,0.0004,0.0038,0.0029,0.48,0.0,0.0,0.0,0.45,0.03,0.0,0.0,0.36,0.0,0.01,0.35,0.0,0.0,1.3,1.2,0.1,0.0,0.0,0.0,2.7,0.00043,0.00015,0.0057,2e-06,0.0,,100.0,11.5,13.0,62.5,3.2,53.9,2.9,0.48,0.36,1.3,9.8,,,0.0,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,312.00
"pere, candite (pyrus communis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,21.0,1.3,75.9,75.9,0.0,0.6,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,295.00
salame felino,0.014,0.0019,,0.031,0.486,0.00020999999999999998,0.0031,0.0043,9.51,0.0,0.0,0.39,6.1,2.91,0.03,0.0,11.88,0.0,0.62,11.26,0.0,0.0,4.33,3.49,0.37,0.47,0.0,0.0,0.5,0.00034,0.00026000000000000003,,,0.0,,100.0,35.2,30.5,0.5,0.5,0.0,27.9,9.51,11.88,4.33,0.0,0.0,0.0,0.095,1.697,0.0,0.0,999.99,923.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,317.0,999.99,835.0,999.99,999.99,999.99,999.99,302.0,90,Trip.,375.00
"pesche, sciroppate (prunus persica)",0.003,0.0002,0.011,0.007,0.11,5e-05,0.0003,0.00011,4.0,0.0,0.0,0.0,3.0,0.0,,,0.01,,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,4.0,1e-05,1e-05,0.0006,1.3e-05,0.005,0.0015,100.0,81.1,0.5,14.0,14.0,0.0,0.0,4.0,0.01,0.01,0.9,,,0.0,0.004,0.0,0.0,20.0,12.0,16.0,105.0,25.0,29.0,96.0,27.0,22.0,38.0,5.0,34.0,15.0,18.0,36.0,16.0,20.0,2.0,28,triptofano,55.00
olive in salamoia (olea europeae l.),,,,,,,,,1.54,0.0,0.0,0.0,1.26,0.24,0.04,0.0,6.14,0.0,0.08,6.06,0.0,0.0,0.99,0.93,0.06,0.0,0.0,0.0,0.6,,,,,,,78.0,78.0,1.2,1.0,1.0,0.0,13.0,1.54,6.14,0.99,2.8,,,0.0,0.872,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,126.00
"uova di tacchina, tuorlo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,2.3970000000000002,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"soia, isolato proteico (glicine max)",0.178,0.0145,0.776,0.039,0.081,0.00159,0.0008,0.004030000000000001,0.0,,,,,,,,0.1,,,,,0.0,0.3,,,,,,,0.00017,,0.00143,0.0,0.0,0.0,100.0,5.0,86.5,4.5,,,0.7,0.0,0.1,0.3,5.6,,,0.0,1.0050000000000001,0.0,0.0012,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,107,solforati,369.00
tapioca [farina ricavata dai tuberi della manioca] (manihot esculenta),0.012,0.001,0.012,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0001,0.0,0.0,0.0,,100.0,12.6,0.6,94.9,,86.3,0.2,,,,0.4,,,0.0,0.004,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,360.00
crackers salati,,,,,,,,,2.5,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,0.0,,100.0,6.0,9.4,80.1,,,10.0,2.5,3.0,3.0,2.8,,,,,0.0,0.00017,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,428.00
spigola (morone labrax),0.02,0.0040999999999999995,0.202,0.029,0.307,0.0007,0.0365,0.0021000000000000003,0.35,0.0,0.0,0.03,0.25,0.07,0.0,0.0,0.3,0.0,0.06,0.21,0.02,0.01,0.4,0.01,0.01,0.04,0.09,0.2,1.1,0.00011,0.00016,0.0021000000000000003,1.4999999999999999e-05,0.0,0.0005,54.0,79.0,16.5,0.6,0.6,0.0,1.5,0.35,0.3,0.4,0.0,0.0,0.0,0.048,0.069,0.0,0.0,539.9946,281.88,539.9946,539.9946,419.58000000000004,390.42,539.9946,338.58000000000004,459.54,539.9946,102.60000000000001,493.56000000000006,283.5,441.18,539.9946,323.46000000000004,373.68,107.46000000000001,101,triptofano,82.00
amarene (prunus cerasus),0.015,0.0004,0.017,,0.114,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,3e-05,5e-05,0.0004,2.4e-05,0.007,,85.0,84.2,0.8,10.2,10.2,0.0,,,,,1.1,,,0.0,0.002,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,42.00
sedano crudo (apium graveolens),0.031,0.0005,0.045,0.016,0.28,0.00011,0.003,0.00124,0.03,0.0,0.0,1.0,0.03,3.0,,,0.02,,1.0,0.02,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,1.8,6e-05,0.00019,0.0002,0.000207,0.032,,80.0,88.3,2.3,2.4,2.2,0.2,0.2,0.03,0.02,0.06,1.6,0.18,1.41,0.0,0.14,0.0,,23.200000000000003,10.4,17.6,102.4,17.6,17.6,78.4,16.0,18.400000000000002,20.0,3.2,24.0,4.800000000000001,18.400000000000002,28.0,8.0,17.6,8.0,53,solforati,20.00
salpa (boops salpa),0.028,0.0043,,0.029,0.54,0.0006,,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,18.0,2.0,2.0,0.0,2.7,,,,0.0,0.0,0.0,0.062,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,104.00
